7,1,476742
26,2,1808481
51,2,251
76,2,246
93,1,-499761
98,0,-499768
99,0,228
100,0,230
101,0,235
102,0,239
103,0,244
104,0,248
105,0,253
106,0,257
107,0,262
108,0,266
109,0,271
110,0,275
112,0,280
114,0,284
116,0,288
119,0,542
124,0,796
131,1,1049
150,2,1301
181,3,1553
224,4,1798
265,3,-498212
294,2,-998229
311,1,-998244
316,0,-498254
323,1,1742
342,2,1744
373,3,1745
416,4,1741
457,3,-498270
486,2,-998287
503,1,-998552
508,0,-498812
514,1,933
530,1,686
545,1,437
558,1,184
570,1,-69
583,1,179
595,1,-72
608,1,175
620,1,-76
633,1,172
645,1,-79
658,1,168
670,1,-83
683,1,165
696,1,163
709,1,161
722,1,159
735,1,156
748,1,154
761,1,152
774,1,150
787,1,147
800,1,145
813,1,142
826,1,140
838,1,138
850,1,135
862,1,133
874,1,131
886,1,129
898,1,127
910,1,125
922,1,123
934,1,120
946,1,118
958,1,116
970,1,114
982,1,111
994,1,109
1006,1,107
1018,1,104
1030,1,102
1042,1,99
1054,1,97
1066,1,94
1078,1,91
1090,1,89
1102,1,86
1114,1,83
1126,1,81
1138,1,78
1150,1,75
1162,1,72
1174,1,69
1186,1,66
1198,1,63
1210,1,60
1222,1,57
1234,1,54
1246,1,51
1258,1,48
1270,1,45
1282,1,41
1294,1,38
1306,1,35
1318,1,31
1330,1,28
1342,1,24
1354,1,21
1366,1,17
1378,1,13
1390,1,10
1402,1,6
1414,1,2
1426,1,-1
1438,1,-5
1450,1,-9
1462,1,-13
1474,1,-17
1486,1,-21
1498,1,-25
1510,1,-29
1522,1,-33
1534,1,-37
1546,1,-41
1558,1,-46
1570,1,-50
1582,1,-55
1594,1,-59
1606,1,-63
1618,1,-68
1630,1,-73
1642,1,-77
1654,1,-82
1666,1,-87
1678,1,-91
1690,1,-96
1702,1,-101
1714,1,-106
1726,1,-111
1738,1,-116
1750,1,-121
1762,1,-126
1774,1,-131
1786,1,-137
1797,1,-142
1808,1,-147
1819,1,-152
1830,1,-157
1841,1,-162
1852,1,-167
1863,1,-172
